Nombre,CAL,P,G,C,showAmountInTable,showInShoppingList,weightOfTheUnit,orderShopping,PP,PG,PC,VALIDATION
Seitán,170,28,2.6,7.8,TRUE,TRUE,1,210 - Platos preparados,65.88%,13.76%,18.35%,OK
Semillas de sésamo,628,23,56,1.6,TRUE,FALSE,1,150 - Huevos-Caldo-Aperitivos-Tortitas trigo,14.65%,80.25%,1.02%,OK
Soja texturizada,326,51,1.3,20,TRUE,TRUE,1,160 - Legumbres-Arroz-Pasta,62.58%,3.59%,24.54%,-0.0929
Ternera,119,21,3.5,0.5,TRUE,TRUE,1,170 - Carne fresca,70.59%,26.47%,1.68%,OK
Tomate,19,0.9,0.1,3.5,TRUE,TRUE,1,010 - Tomate-Patata-Cebolla-Pepino-Ajo,18.95%,4.74%,73.68%,OK
Tomate triturado (Hacendado),26,0.8,0.1,5.2,TRUE,TRUE,1,120 - Latas conserva,12.31%,3.46%,80.00%,OK
Tomillo,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Tortita de trigo (Hacendado),294,8,5.3,53,TRUE,TRUE,1,150 - Huevos-Caldo-Aperitivos-Tortitas trigo,10.88%,16.22%,72.11%,OK
Uva,72,0.6,0.7,15.5,TRUE,TRUE,1,020 - Fruta,3.33%,8.75%,86.11%,OK
Vinagre de vino blanco,1,0,0,0.25,TRUE,FALSE,1,110 - Aceite-Vinagre,0.00%,0.00%,100.00%,OK
Vinagre módena,123,1,0,25,FALSE,FALSE,1,110 - Aceite-Vinagre,3.25%,0.00%,81.30%,-0.1545
Vino blanco (cocinar),17,0.4,0.1,3.6,TRUE,TRUE,1,140 - Cerveza,9.41%,5.29%,84.71%,OK
Yogur cremoso natural edulcorado 0MG (Hacendado),50,4.8,0.1,5.8,TRUE,TRUE,125,240 - Yogures-Café-Galletas,38.40%,1.80%,46.40%,-0.1340
Yogur proteinas arándanos (Hacendado),53,8.3,0.1,5,TRUE,TRUE,120,240 - Yogures-Café-Galletas,62.64%,1.70%,37.74%,OK
Yogur proteinas blanco (Hacendado),52,10,0.5,3.1,TRUE,TRUE,120,240 - Yogures-Café-Galletas,76.92%,8.65%,23.85%,0.0942
Yogur proteinas chocolate (Hacendado),81,8.4,1.1,8.7,TRUE,TRUE,120,240 - Yogures-Café-Galletas,41.48%,12.22%,42.96%,OK
Yogur proteinas fresa (Hacendado),53,8.3,0.1,5,TRUE,TRUE,120,240 - Yogures-Café-Galletas,62.64%,1.70%,37.74%,OK
Yogur proteinas mango (Hacendado),56,8.3,0.1,5.8,TRUE,TRUE,120,240 - Yogures-Café-Galletas,59.29%,1.61%,41.43%,OK
Zanahoria,34,0.8,0.3,7,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,9.41%,7.94%,82.35%,OK
Zumo de lima,17,0.4,0.1,3.6,TRUE,TRUE,1,020 - Fruta,9.41%,5.29%,84.71%,OK
Zumo de limón,17,0.4,0.1,3.6,TRUE,TRUE,1,020 - Fruta,9.41%,5.29%,84.71%,OK
Zumo de naranja,44,0.69,0.2,9.4,TRUE,TRUE,1,020 - Fruta,6.27%,4.09%,85.45%,OK
Alcachofa congelada baby,36,3.3,0.2,2.7,TRUE,TRUE,1,050 - Verdura congelada,36.67%,5.00%,30.00%,-0.2833
Plátano,89,1.2,0.3,20,TRUE,TRUE,90,020 - Fruta,5.39%,3.03%,89.89%,OK
Proteína polvo,418,80,7.3,8.5,TRUE,FALSE,1,000 - NONE,76.56%,15.72%,8.13%,OK
Pechuga de pollo fiambre,107,23.4,1.2,0.6,TRUE,TRUE,1,180 - Charcutería,87.48%,10.09%,2.24%,OK
Queso de cabra,347,17,29.2,4.1,TRUE,TRUE,1,190 - Quesos,19.60%,75.73%,4.73%,OK
Pasta (hélices),359,12,1.7,74,TRUE,TRUE,1,160 - Legumbres-Arroz-Pasta,13.37%,4.26%,82.45%,OK
Frutos rojos congelados,39,0.9,0,5.5,TRUE,TRUE,1,050 - Verdura congelada,9.23%,0.00%,56.41%,-0.3436
Semillas de chía,464,22,34,2.6,TRUE,TRUE,1,150 - Huevos-Caldo-Aperitivos-Tortitas trigo,18.97%,65.95%,2.24%,-0.1284
Arándanos,33,0.63,0.6,6.05,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,7.64%,16.36%,73.33%,OK
Gelatina de proteína,39,6,0,3.8,TRUE,TRUE,100,240 - Yogures-Café-Galletas,61.54%,0.00%,38.97%,OK
Mayonesa,552,0.8,9.7,2,TRUE,TRUE,1,090 - Salsas,0.58%,15.82%,1.45%,-0.8216
Salmón ahumado,182,22,10,0,TRUE,TRUE,1,200 - Salazones,48.35%,49.45%,0.00%,OK
Mostaza,149,7.2,11,1.8,TRUE,TRUE,1,090 - Salsas,19.33%,66.44%,4.83%,-0.0940
Arreglo ensaladilla,65,2.5,0.2,12,TRUE,TRUE,1,050 - Verdura congelada,15.38%,2.77%,73.85%,-0.0800
Poke preparado,120,8.8,2.1,14,FALSE,FALSE,1,000 - NONE,29.33%,15.75%,46.67%,-0.0825
Espárragos trigueros,27,2.6,0.5,2.3,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,38.52%,16.67%,34.07%,-0.1074
